Title,ESG_Company_Related,Sentiment,label
"Brazil, Bribes, And Banks: Brazilian Investment Company Pays $ 265M Fine In FCPA SEC And DOJ Enforcement Action Evidencing Ongoing Corruption Risks In Equity Financing In Brazil",yes,negative,1
Biden to nominate tech antitrust pioneer Lina Khan for FTC commissioner,no,not_esg,0
Southern California Gas Company: - SoCalGas Energy Efficiency Programs a Win-win for Customers and California's Emissions Reduction Goals,yes,positive,3
International Business Machines: IBM Says Its Carbon Capture Research Will Help Meet Its 2030 Net-Zero Goal,yes,positive,3
"Energy treaty reform could see investors in fossil fuels, renewables lose cover",no,negative,1
International Business Machines: IBM Says Its Carbon Capture Research Will Help Meet Its 2030 Net-Zero Goal,yes,positive,3
"PRESS RELEASE: fox e-mobility wins leading European battery company, InoBat Auto, as technology partner for the new MIA 2.0 electric car",yes,positive,3
INVESTOR ALERT: Law Offices of Howard G. Smith Announces Investigation of Omeros Corporation ( OMER) on Behalf of Investors,yes,negative,1
Jury Says State Farm Owes '90210 ' Actor $ 6.3M For Wildfire,no,not_esg,0
NY Attorney General Sues Trump Organization for Stonewalling Probe into Alleged Financial Fraud,no,not_esg,0
Air Pollution Takes a Global Toll on Heart Health,no,not_esg,0
"Tencent, Chindata Take Top Spots in Greenpeace's China Clean Tech Report",yes,positive,3
Falck Renewables S p A: won 40 MW in the Spanish tender,yes,positive,3
"Startup: Andrea Roberson of AI4US Seeks Diversity in AI, Tech Workforce",yes,positive,3
Triple Point Social Housing REIT: Chairman's Statement Interim Report 2020,yes,neutral,2
Aramark Announces Executive Diversity Council and Names Ashwani Hanson Chief Diversity & Sustainability Officer,yes,positive,3
"Glancy Prongay & Murray LLP, a Leading Securities Fraud Law Firm, Announces Investigation of CareDx, Inc. ( CDNA) on Behalf of Investors",yes,negative,1
Antarctic ice sheet collapse could add 3 meters to sea-level rise,no,not_esg,0
Pindrop Helps Avaya Customers Verify Legitimate Callers and Detect Fraud,yes,neutral,2
Toyota's electric car vehicle plans in detail,yes,positive,3
One Oil Company's Rocky Path to Renewable Energy,yes,neutral,2
Bertelsmann: BMG Lauded For Anti-Racism Commitment,yes,positive,3
Juventus Football Club: coach Pirlo earns UEFA coaching qualification,no,not_esg,0
Portland General Electric: Service restoration underway for PGE customers impacted by historic windstorm,yes,neutral,2
"INVESTOR ALERT: Law Offices of Howard G. Smith Announces the Filing of a Securities Class Action on Behalf of Cassava Sciences, Inc. ( SAVA) Investors",yes,negative,1
"Racial disparities in COVID-19 mortality wider than reported, study finds: Structural racism is a direct predictor of state-level racial disparities in COVID deaths -- ScienceDaily",no,not_esg,0
Indonesia's antitrust agency investigates nickel smelters,no,not_esg,0
CBI books alleged arms dealer for corruption involving Korean firm for ONGC-related contract,yes,negative,1
Amazon rainforest drought and deforestation could lead to bad fire season,no,not_esg,0
One Oil Company's Rocky Path to Renewable Energy -2-,yes,neutral,2
Palace adidas Ultraboost Recycled Yarns Capsule: Release Info,yes,positive,3
Aker: Carbon Capture AS and Aker Offshore Wind Holding AS – Contemplated Private Placement and Listing on Merkur Market,yes,neutral,2
Willis Towers Watson Adds to Low Carbon Transition Skillset with Addition of CPI Energy Finance Team,yes,positive,3
Google-Antitrust: Top internet analyst Brian Nowak weighs in on DOJ suit,yes,negative,1
SSAB: to deliver fossil-free steel to Mercedes-Benz,yes,positive,3
One Oil Company's Rocky Path to Renewable Energy,yes,neutral,2
HCL Technologies: California Court Denies Class Certification In Reverse Discrimination Case Brought By Job Candidates,yes,neutral,2
"Workhorse Group Inc. Reminder: Kessler Topaz Meltzer & Check, LLP Reminds Investors of Securities Fraud Class Action Lawsuit Filed Against Workhorse Group Inc.",yes,negative,1
Pindrop Helps Avaya Customers Verify Legitimate Callers and Detect Fraud,yes,neutral,2
Spanish PM 'disturbed ' by allegations of former king's corruption,no,not_esg,0
AIR Worldwide Releases Updated Tropical Cyclone and Earthquake Models for the Caribbean,yes,neutral,2
CBI books alleged arms dealer for corruption involving Korean firm for ONGC-related contract,yes,negative,1
The Sierra Club: America's oldest conservation group denounces racism of its founder,no,not_esg,0
Ohio House speaker targeted in $ 60 million public corruption case,no,neutral,2
Blink Charging: to Participate in Electric Vehicle Webinar Presented by Maxim Group LLC and M-Vest,yes,neutral,2
Clean energy? The world’ s demand for copper could be catastrophic for communities and environments,no,not_esg,0
SSAB: to deliver fossil-free steel to Mercedes-Benz,yes,positive,3
Doral Renewables LLC ( formerly named Global Energy Generation LLC) Appoints Evan Speece as Chief Financial Officer,yes,neutral,2
Polish fraud fighter Nethone raises $ 6.7 million,yes,neutral,2
"Google, Apple, Facebook, Amazon go virtually to Washington: Big Tech CEOs questioned over antitrust concerns",yes,negative,1
Clean Energy to Report Third Quarter 2020 Financial Results on November 5; Conference Call To Follow at 1:30 p.m. PST,yes,neutral,2
SeaBird Exploration: Green Energy Group ( SeaBird Exploration Plc) – Update on potential subsequent offering,yes,neutral,2
"MoneyGram International: ROSEN, A TOP RANKED LAW FIRM, Encourages MoneyGram International, Inc. Investors with Losses in Excess of $ 100K to Secure Counsel Before Important Deadline in Securities Class Action First Filed by the Firm - MGI",yes,negative,1
Nortek technology used by CCAMLR to estimate krill biomass in Antarctic waters,yes,neutral,2
Investor Alert: Kaplan Fox Investigates Peabody Energy Corporation For Potential Securities Fraud,yes,negative,1
Polish fraud fighter Nethone raises $ 6.7 million,yes,neutral,2
"Electric Vehicle Powertrain Market 2021: Global Industry Analysis, Opportunities, Market Size, Trends, Growth and Forecast 2027 with Top Countries Data",no,not_esg,0
Nortek technology used by CCAMLR to estimate krill biomass in Antarctic waters,yes,neutral,2
"Kessler Topaz Meltzer & Check, LLP: Securities Fraud Class Action Filed Against Penumbra, Inc.",yes,negative,1
Meituan: China probes takeout firm Meituan over antitrust concerns,yes,negative,1
Renewable Energy: Hires R. Craig Bealmear as Chief Financial Officer,yes,neutral,2
Mass evacuations as second cyclone in a week forms off India,no,not_esg,0
Diageo: ranked number six in Equileap's 2021 Gender Equality Global Report and Ranking,yes,positive,3
Diageo: ranked number six in Equileap's 2021 Gender Equality Global Report and Ranking,yes,positive,3
Global Renewable Energy Industry Guide 2021: Value and Volume 2016-2020 and Forecast to 2025 - ResearchAndMarkets.com,no,not_esg,0
Drought of the century in the Middle Ages—with parallels to climate change today?,no,not_esg,0
"Frito-Lay: ® Launches Industrially Compostable Bags with Off The Eaten Path® Brand; Advances in Goal to Design 100% of Packaging to be Recyclable, Compostable, Biodegradable or Reusable across Portfolio by 2025",yes,positive,3
"PARSELY ENERGY INVESTOR ALERT by the Former Attorney General of Louisiana: Kahn Swick & Foti, LLC Investigates Adequacy of Price and Process in Proposed Sale of Parsley Energy, Inc. - PE",yes,negative,1
FDA Approves Multiple Investigational New Drug Applications,no,not_esg,0
GM says it is ahead of schedule in some clean-energy goals,yes,positive,3
Market analysis of the electric car industry — Quartz,no,not_esg,0
"EQUITY ALERT: ROSEN, A TOP RANKED LAW FIRM, Encourages Amarin Corporation plc Investors with Losses in Excess of $ 100K to Secure Counsel Before Important Deadline in Securities Class Action – AMRN",yes,negative,1
Blink Charging: to Participate in Electric Vehicle Webinar Presented by Maxim Group LLC and M-Vest,yes,neutral,2
Tesla just got snubbed by Biden's electric vehicle summit,yes,negative,1
SSAB Targets Title of First Global Fossil-Free Steel Company,yes,positive,3
TransAlta: and TransAlta Renewables Third Quarter 2020 Results and Conference Call,yes,neutral,2
"Tooth fast, tooth curious? New study uncovers novel approach to plant-based diet, unique to long-necked dinosaurs",no,not_esg,0
TRESemmé hair ad angers South Africans still hurting from racist past,yes,negative,1
"DNA INVESTOR ALERT: ROSEN, A TOP RANKED LAW FIRM, Encourages Ginkgo Bioworks Holdings, Inc. Investors with Losses to Inquire About Class Action Investigation – DNA",yes,negative,1
SeaBird Exploration: Green Energy Group ( SeaBird Exploration Plc) – Update on potential subsequent offering,yes,neutral,2
Air pollution levels depend on drizzle rates,no,not_esg,0
HCL Technologies: California Court Denies Class Certification In Reverse Discrimination Case Brought By Job Candidates,yes,neutral,2
"Glancy Prongay & Murray LLP: Obtains Important Ruling for Ra Medical Systems, Inc. Investors in Securities Fraud Class Action",yes,negative,1
German prosecutors probe Wirecard for money laundering,yes,negative,1
"Siemens Gamesa Renewable Energy S A: powers carbon-free future with green hydrogen, crucial to decarbonizing polluting industr",yes,positive,3
"Orocobre: reports no injuries, only minor damage from earthquake near Naraha plant",yes,neutral,2
One Oil Company's Rocky Path to Renewable Energy -2-,yes,neutral,2
LafargeHolcim Announces Global Rollout of Low-Carbon Concrete,yes,positive,3
New theories and materials aid the transition to clean energy -- ScienceDaily,no,not_esg,0
RRC INVESTOR FILING DEADLINE: Bernstein Liebhard LLP Reminds Investors of the Deadline to File a Lead Plaintiff Motion In a Securities Class Action Lawsuit Against Range Resources Corporation,yes,negative,1
"TD SYNNEX: TECH DATA EXTENDS TRADE-IN SERVICES AND HARDWARE RECYCLING CAPABILITY; All kinds of equipment servers, storage, audiovisual and networking kit, as well as mobiles, notebooks, and desktops can now be traded-in and recycled",yes,positive,3
"QuantumScape Stock: Berger Montague Investigates Alleged Securities Fraud Claims Against QuantumScape Corporation ( NYSE: QS); Lead Plaintiff Deadline is March 8, 2021",yes,negative,1
"Siemens Gamesa Renewable Energy S A: powers carbon-free future with green hydrogen, crucial to decarbonizing polluting industr",yes,positive,3
Aker: Carbon Capture AS and Aker Offshore Wind Holding AS – Contemplated Private Placement and Listing on Merkur Market,yes,neutral,2
Eli Lilly and: US FDA approves Jardiance® ( empagliflozin) to treat adults living with heart failure with reduced ejection fraction,yes,positive,3
Faurecia: will develop ultra-low CO2 seat structures in partnership with SSAB as its fossil-free steel supplier,yes,positive,3
High genomic diversity is good news for California condor: First complete genome reveals high genetic diversity despite recent brush with extinction -- ScienceDaily,no,not_esg,0
New Regulations and Private Initiatives are Pushing the Transition to Clean Energy,no,not_esg,0
Triple Point Social Housing REIT: Chairman's Statement Interim Report 2020,yes,neutral,2
Exporting Pollution: Strict Environmental Laws “ Push ” Firms to Pollute Elsewhere,no,negative,1
"Recover Losses: Ademi LLP Investigates Claims of Securities Fraud against Zymergen, Inc.",yes,negative,1
"Apple Korea, under antitrust probe, proposes $ 84 million to support small businesses",yes,positive,3
CBI calls for business rates exemption for green building upgrades,no,not_esg,0
"Plastics, waste and recycling: It's not just a packaging problem -- ScienceDaily",no,not_esg,0
"Congress to grill Bezos, Zuckerberg and other tech chiefs over monopoly concerns",yes,negative,1
Italy minister's embrace of 'Blackface ' memes spotlights racism,no,negative,1
Pat Toomney: GOP senator warns against treating funding as 'Monopoly money ' as infrastructure negotiations come to a head,no,not_esg,0
Ohio House speaker targeted in $ 60 million public corruption case,no,neutral,2
Questions To Ask If Doing Business In A Corruption Hot Spot,no,negative,1
Centrica: 17 Dec 2020 Hive launches new service to improve energy efficiency Company,yes,positive,3
Brookdale Senior Living: FDA Approval of New Alzheimer's Drug Offers Hope,yes,positive,3
"Siemens Gamesa Renewable Energy S A: powers carbon-free future with green hydrogen, crucial to decarbonizing polluting industr",yes,positive,3
CBI books alleged arms dealer for corruption involving Korean firm for ONGC-related contract,yes,negative,1
Global Lanthanum Market Outlook Report 2021-2026: Approx 10 KG of Lanthanum in the Form of Trivalent Lanthanides is Used in the Making of a Single Hybrid Electric Car - ResearchAndMarkets.com,no,not_esg,0
Robot probes the Red Sea's carbon storage system,no,not_esg,0
HeidelbergCement’ s carbon capture project is proposed to the Norwegian parliament,yes,positive,3
INVESTOR ALERT: Law Offices of Howard G. Smith Announces Investigation of 3D Systems Corporation ( DDD) on Behalf of Investors,yes,negative,1
Celebrating Cultural Diversity: Nissan Foundation Kicks off 2022 Grant Cycle,yes,positive,3
Ford to convert British factory into electric vehicle plant,yes,positive,3
Marifil Mines: Is Cadbury World Scam Check Updated Reviews!,no,not_esg,0
"LGBTQ-Inclusive Movies Rise As Racial Diversity Plummets, GLAAD Report Finds",no,not_esg,0
INVESTOR ALERT: Law Offices of Howard G. Smith Announces the Filing of a Securities Class Action on Behalf of EHang Holdings Limited ( EH) Investors,yes,negative,1
HCL Technologies: California Court Denies Class Certification In Reverse Discrimination Case Brought By Job Candidates,yes,neutral,2
Celebrating Cultural Diversity: Nissan Foundation Kicks off 2022 Grant Cycle,yes,positive,3
Doral Renewables LLC ( formerly named Global Energy Generation LLC) Appoints Evan Speece as Chief Financial Officer,yes,neutral,2
Study: Indoor air cleaners fall short on removing volatile organic compounds,no,not_esg,0
Starling issues debit cards made from recycled plastic,no,not_esg,0
Clean-energy ETFs surge along with growth rebound,no,not_esg,0
ReneSola: Power to Present at Credit Suisse Renewables and Utilities Virtual Conference,yes,neutral,2
Health Care Up As BioNTech Rises On FDA Approval Anticipation -- Health Care Roundup,yes,positive,3
Palace adidas Ultraboost Recycled Yarns Capsule: Release Info,yes,positive,3
AIR Worldwide Releases Updated Tropical Cyclone and Earthquake Models for the Caribbean,yes,neutral,2
One Oil Company's Rocky Path to Renewable Energy -2-,yes,neutral,2
FTC Reaches Deal In Suit Over Alleged Inmate Call Plan Scam,no,not_esg,0
JPMorgan Commits to Paris-Aligned Financing; Will Reach Carbon Neutrality This Year,yes,positive,3
Cowboy e-bikes now navigate you around air pollution,yes,positive,3
"Two arrested for Covid loans scheme scam as £4.6 billion taxpayers ' cash at risk from fraudsters, says study",no,not_esg,0
Robust Vision-Based Cheat Detection in Competitive Gaming,no,not_esg,0
Volvo Unveils Its New Vehicle Made of Fossil-Free Steel,yes,positive,3
"PARSELY ENERGY INVESTOR ALERT by the Former Attorney General of Louisiana: Kahn Swick & Foti, LLC Investigates Adequacy of Price and Process in Proposed Sale of Parsley Energy, Inc. - PE",yes,negative,1
Amazon Takes the Title of Largest Corporate Renewable Energy Buyer in U.S.,yes,positive,3
Trinseo and Fernholz Commercialize Recycled Polystyrene ( r-PS) for Food Packaging,yes,positive,3
Inside Steve Bannon's mysterious charity at center of wall project fraud,no,not_esg,0
Portland General Electric: Service restoration underway for PGE customers impacted by historic windstorm,yes,neutral,2
"Frito-Lay: ® Launches Industrially Compostable Bags with Off The Eaten Path® Brand; Advances in Goal to Design 100% of Packaging to be Recyclable, Compostable, Biodegradable or Reusable across Portfolio by 2025",yes,positive,3
SHAREHOLDER ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors Clean Energy Fuels Corp. - CLNE,yes,negative,1
Investor Alert: Kaplan Fox Investigates Peabody Energy Corporation For Potential Securities Fraud,yes,negative,1
SeaBird Exploration: Green Energy Group ( SeaBird Exploration Plc) – Update on potential subsequent offering,yes,neutral,2
Blink Charging: to Participate in Electric Vehicle Webinar Presented by Maxim Group LLC and M-Vest,yes,neutral,2
Celebrating Cultural Diversity: Nissan Foundation Kicks off 2022 Grant Cycle,yes,positive,3
Willis Towers Watson Adds to Low Carbon Transition Skillset with Addition of CPI Energy Finance Team,yes,positive,3
"INVESTOR ALERT: Kirby McInerney LLP Reminds Investors That a Class Action Lawsuit Has Been Filed Against 360 DigiTech, Inc. and Encourages Investors to Contact the Firm Before September 13, 2021",yes,negative,1
"INVESTOR ALERT: Kirby McInerney LLP Announces the Filing of a Securities Class Action on Behalf of View, Inc. f/k/a CF Finance Acquisition Corp. II ( VIEW) Investors",yes,negative,1
Arco Receives Antitrust Approval and Completes the Acquisition of COC and Dom Bosco Learning Systems,yes,neutral,2
"After charges against Google, road map to antitrust changes contains many potential routes",yes,negative,1
Food Brands Are Finally Changing Their Racist Mascots—But Is It Enough?,yes,neutral,2
TransAlta: and TransAlta Renewables Third Quarter 2020 Results and Conference Call,yes,neutral,2
"INVESTOR ALERT: Law Offices of Howard G. Smith Announces Investigation of The Geo Group, Inc. ( GEO) on Behalf of Investors",yes,negative,1
Remora is ready to roll with carbon capture for trucks,yes,positive,3
It happens every day ': Zaha calls on social media companies to act over online racism,no,negative,1
INTC INVESTOR ALERT: Bernstein Liebhard LLP Reminds Investors of the Deadline to File a Lead Plaintiff Motion in a Securities Class Action Lawsuit Against Intel Corporation,yes,negative,1
Bertelsmann: BMG Lauded For Anti-Racism Commitment,yes,positive,3
"BAT and Imperial tobacco firms profited from child labour, law firm alleges",yes,negative,1
Arco Receives Antitrust Approval and Completes the Acquisition of COC and Dom Bosco Learning Systems,yes,neutral,2
Satellites contribute significant light pollution to night skies -- ScienceDaily,no,not_esg,0
Celtics donating $ 25M to racial justice initiatives in Boston,yes,positive,3
Hate-speech case forces Japan to confront workplace racism,no,not_esg,0
Aker: Carbon Capture AS and Aker Offshore Wind Holding AS – Contemplated Private Placement and Listing on Merkur Market,yes,neutral,2
Volvo Unveils Its New Vehicle Made of Fossil-Free Steel,yes,positive,3
"Understanding Equity, Diversity and Inclusion Challenges Within the Research Software Community",no,not_esg,0
Japan's carbon neutrality dilemma: More nuclear power or more renewables?,no,not_esg,0
RENAULT: PARTNERS WITH VULCAN ENERGY IN THE ZERO CARBON LITHIUMTM PROJECT,yes,positive,3
Aker: Carbon Capture AS and Aker Offshore Wind Holding AS – Contemplated Private Placement and Listing on Merkur Market,yes,neutral,2
International Business Machines: IBM Says Its Carbon Capture Research Will Help Meet Its 2030 Net-Zero Goal,yes,positive,3
"PARSELY ENERGY INVESTOR ALERT by the Former Attorney General of Louisiana: Kahn Swick & Foti, LLC Investigates Adequacy of Price and Process in Proposed Sale of Parsley Energy, Inc. - PE",yes,negative,1
Renewable Energy: Hires R. Craig Bealmear as Chief Financial Officer,yes,neutral,2
Multiple Product Liability Burn Injury Lawsuits Filed Against Sunbeam Products By Pressure Cooker Lawyer Jason Turchin For Exploding Crock-Pot Multi-Cookers,yes,negative,1
Portland General Electric: Service restoration underway for PGE customers impacted by historic windstorm,yes,neutral,2
Scam calls ‘ could surge as coronavirus lockdown eases’,no,not_esg,0
Gilead Sciences: Announces Racial Equity Community Impact Fund to Support Black Communities Across United States,yes,positive,3
Google antitrust lawsuit: Why dethroning Google Search is so hard,yes,negative,1
Bertelsmann: BMG Lauded For Anti-Racism Commitment,yes,positive,3
"Workhorse Group Inc. Reminder: Kessler Topaz Meltzer & Check, LLP Reminds Investors of Securities Fraud Class Action Lawsuit Filed Against Workhorse Group Inc.",yes,negative,1
New evidence of health threat from chemicals in marijuana and tobacco smoke -- ScienceDaily,no,not_esg,0
INVESTOR ALERT: Law Offices of Howard G. Smith Announces the Filing of a Securities Class Action on Behalf of EHang Holdings Limited ( EH) Investors,yes,negative,1
Aker: Carbon Capture AS and Aker Offshore Wind Holding AS – Contemplated Private Placement and Listing on Merkur Market,yes,neutral,2
"Orocobre: reports no injuries, only minor damage from earthquake near Naraha plant",yes,neutral,2
Faurecia: will develop ultra-low CO2 seat structures in partnership with SSAB as its fossil-free steel supplier,yes,positive,3
"DNA INVESTOR ALERT: ROSEN, A TOP RANKED LAW FIRM, Encourages Ginkgo Bioworks Holdings, Inc. Investors with Losses to Inquire About Class Action Investigation – DNA",yes,negative,1
Arco Receives Antitrust Approval and Completes the Acquisition of COC and Dom Bosco Learning Systems,yes,neutral,2
"GM to invest $ 1 billion in Mexico for electric vehicle production, angering UAW members",yes,positive,3
"Nano X Imaging: ROSEN, A GLOBALLY RECOGNIZED FIRM, First Files Securities Class Action Lawsuit Against Nano-X Imaging Ltd. - NNOX",yes,negative,1
Blink Charging: to Participate in Electric Vehicle Webinar Presented by Maxim Group LLC and M-Vest,yes,neutral,2
Merck: FDA Approves Merck's KEYTRUDA plus Platinum- and Fluoropyrimidine-Based Chemotherapy for Treatment of Certain Patients with Locally Advanced or Metastatic Esophageal or Gastroesophageal Junction Carcinoma,yes,positive,3
Italy minister's embrace of 'Blackface ' memes spotlights racism,no,negative,1
INTC INVESTOR ALERT: Bernstein Liebhard LLP Reminds Investors of the Deadline to File a Lead Plaintiff Motion in a Securities Class Action Lawsuit Against Intel Corporation,yes,negative,1
"BAT and Imperial tobacco firms profited from child labour, law firm alleges",yes,negative,1
Sussexes pen open letter for greater Covid-19 vaccine access,no,not_esg,0
Nissan Investors Fight Ex-Exec's Latest Bid To Exit Fraud Suit,yes,negative,1
AI Weekly: Big Tech’ s antitrust reckoning is a cautionary tale for the AI industry,no,not_esg,0
ODA Designs Largest Affordable Housing Project in NYC,no,not_esg,0
Ohio House speaker targeted in $ 60 million public corruption case,no,neutral,2
Rose McGowan accuses co-star Alyssa Milano of making Charmed set `` toxic AF '',no,not_esg,0
"Kessler Topaz Meltzer & Check, LLP: Securities Fraud Class Action Filed Against Ideanomics, Inc. - IDEX",yes,negative,1
One Oil Company's Rocky Path to Renewable Energy,yes,neutral,2
SeaBird Exploration: Green Energy Group ( SeaBird Exploration Plc) – Update on potential subsequent offering,yes,neutral,2
VMware: Accelerating Decarbonization of the World's Digital Infrastructure,yes,positive,3
"Simply Blue Holdings Limited announced that it has received funding from Octopus Renewables Infrastructure Trust PLC, Octopus Investments Limited",yes,positive,3
Fossil fuel subsidies amount to hundreds of billions of dollars a year – here's how to get rid of them,no,not_esg,0
Apple co-founder Steve Wozniak sues YouTube for not cracking down on bitcoin scam videos,yes,negative,1
U.S. Department of Justice files antitrust lawsuit against Google,yes,negative,1
"Glancy Prongay & Murray LLP, a Leading Securities Fraud Law Firm, Announces the Filing of a Securities Class Action on Behalf of Spectrum Pharmaceuticals, Inc. ( SPPI) Investors",yes,negative,1
"CEI Investigation Alert: Kessler Topaz Meltzer & Check, LLP is Investigating Securities Fraud Claims on Behalf of Camber Energy, Inc. ( NYSE: CEI) Investors",yes,negative,1
"Glancy Prongay & Murray LLP: a Leading Securities Fraud Law Firm, Announces the Filing of a Securities Class Action on Behalf of Amdocs Limited ( DOX) Investors",yes,negative,1
"Orocobre: reports no injuries, only minor damage from earthquake near Naraha plant",yes,neutral,2
TransAlta Renewables: Announces Pricing of AUD $ 800 Million Secured Financing of South Hedland Combined Cycle Gas Assets,yes,neutral,2
Southern California Gas Company: - SoCalGas Energy Efficiency Programs a Win-win for Customers and California's Emissions Reduction Goals,yes,positive,3
"Facebook's 'monopoly power ' hurts user privacy, finds Congress",yes,negative,1
Remora is ready to roll with carbon capture for trucks,yes,positive,3
Here's why the planned NDIS reforms discriminate against Aboriginal and Torres Strait Islander people,no,not_esg,0
"Investor Alert: Kessler Topaz Meltzer & Check, LLP Reminds Investors of Securities Fraud Class Action Lawsuit Filed Against Bit Digital, Inc. – BTBT",yes,negative,1
Southern California Gas Company: - SoCalGas Energy Efficiency Programs a Win-win for Customers and California's Emissions Reduction Goals,yes,positive,3
RENAULT: PARTNERS WITH VULCAN ENERGY IN THE ZERO CARBON LITHIUMTM PROJECT,yes,positive,3
TransAlta Renewables: Announces Pricing of AUD $ 800 Million Secured Financing of South Hedland Combined Cycle Gas Assets,yes,neutral,2
